date,temperature,temp_max,temp_min,precipitation,humidity,wind_speed,temp_roll7,temp_roll30,temp_roll_std7,temp_zscore_rolling
2024-01-01,18.12,19.38,17.03,0.01,74.34,2.13,,,,0.9018241304715834
2024-01-02,18.11,19.78,16.32,0.02,78.98,4.02,,,,0.9440423996708689
2024-01-03,17.74,19.32,16.65,0.0,77.41,3.17,,,,0.6358466471557329
2024-01-04,17.96,20.01,16.19,0.0,72.53,2.84,,,,0.87975307884319
2024-01-05,18.1,20.54,15.73,0.0,75.96,3.6,,,,1.0678784534948813
2024-01-06,18.65,20.49,17.05,0.06,76.86,2.25,,,,1.5642414566418494
2024-01-07,18.65,22.45,15.85,0.07,72.95,3.28,18.19,,0.34107672646097253,1.5207140180350727
2024-01-08,16.82,20.81,12.52,0.0,65.25,3.27,18.004285714285714,,0.622972903178973,-0.3677628605043195
2024-01-09,16.26,19.77,13.2,0.0,63.35,5.39,17.74,,0.901017942847607,-0.9737641399806483
2024-01-10,16.42,19.53,13.31,0.16,69.89,6.49,17.55142857142857,,1.0299260260075085,-0.7657812194690443
2024-01-11,16.68,18.09,15.25,0.82,71.9,6.37,17.368571428571432,,1.058527728678353,-0.47347954327758135
2024-01-12,16.8,18.57,15.21,0.36,68.02,6.42,17.18285714285714,,1.0222314526843432,-0.3263253840807158
2024-01-13,15.92,19.56,12.38,3.6,67.77,7.66,16.79285714285714,,0.8800892811852342,-1.2339015996852827
2024-01-14,16.06,17.61,14.46,0.14,67.36,5.24,16.422857142857143,,0.3598941643369731,-0.9490059096240976
2024-01-15,16.13,18.55,14.22,0.11,66.4,4.11,16.324285714285715,,0.32587610850634013,-0.7554677215737287
2024-01-16,15.5,18.33,12.36,0.0,60.41,4.1,16.215714285714288,,0.4527639982322309,-1.1482861771695145
2024-01-17,16.6,19.63,13.98,0.0,59.03,2.92,16.24142857142857,,0.471042410384617,-0.034943563521467734
2024-01-18,17.04,19.34,15.62,0.0,72.27,1.25,16.29285714285714,,0.5413167367852274,0.39803430606903806
2024-01-19,16.67,19.51,13.78,0.0,75.56,2.07,16.274285714285714,,0.5229358514788429,0.1952618321090541
2024-01-20,18.2,22.35,14.48,0.0,64.21,2.85,16.599999999999998,,0.8641951940003668,1.3798438955065542
2024-01-21,18.08,22.82,14.49,0.0,58.06,3.8,16.888571428571428,,0.9829280843722074,1.3892350727570926
2024-01-22,17.23,21.13,13.72,0.19,72.7,6.62,17.045714285714286,,0.9278264410771567,0.8955408002149163
2024-01-23,17.07,18.34,15.92,1.21,76.34,6.35,17.27,,0.6356623841841391,0.9037130559633205
2024-01-24,16.3,17.58,15.25,0.37,69.6,4.8,17.22714285714286,,0.6956463250271703,0.2894971631325426
2024-01-25,16.68,18.26,15.43,0.13,66.31,4.73,17.175714285714285,,0.724496541120271,0.6143583184842433
2024-01-26,16.63,18.13,15.32,2.69,69.16,6.95,17.169999999999998,,0.7292918940086102,0.5706853159001547
2024-01-27,15.84,17.12,14.83,2.13,64.8,6.66,16.832857142857144,,0.7192059113057581,-0.07854761667830729
2024-01-28,15.12,16.33,14.31,3.2,68.98,4.28,16.41,,0.7337574531137725,-0.6930823527853917
2024-01-29,14.88,16.28,13.0,2.4,68.9,5.35,16.074285714285715,,0.8276443910854788,-0.9129561294222845
2024-01-30,14.0,16.24,12.24,1.16,65.4,7.96,15.635714285714284,16.808666666666667,1.0062116600208564,-1.6356140547681126
2024-01-31,13.21,15.82,10.86,1.76,68.55,5.58,15.194285714285714,16.645,1.3008696724737399,-2.2561725751431934
2024-02-01,13.46,15.92,10.34,2.85,74.55,5.8,14.734285714285717,16.49,1.256501189054462,-2.0071114888376353
2024-02-02,15.02,16.4,14.06,1.85,69.87,4.76,14.504285714285714,16.399333333333335,0.9652608825745581,-0.751062819795872
2024-02-03,15.01,18.03,12.32,0.54,68.45,4.77,14.385714285714284,16.301,0.812770101624859,-0.7418533116807808
2024-02-04,14.76,16.54,13.5,0.47,73.46,3.96,14.334285714285715,16.189666666666664,0.7687621466326789,-0.9346276190010899
2024-02-05,15.24,17.23,13.23,0.24,74.77,5.08,14.385714285714286,16.076,0.821580938249716,-0.5301761468161656
2024-02-06,16.11,18.52,14.22,0.02,76.13,3.57,14.687142857142858,15.991333333333333,1.0196684802051348,0.29332376691078405
2024-02-07,15.8,17.91,14.3,0.16,79.26,1.96,15.057142857142859,15.957333333333334,0.8501512470479454,0.05849125129399303
2024-02-08,16.14,18.4,14.47,0.01,73.82,1.95,15.44,15.953333333333331,0.5674798087450867,0.420091005414416
2024-02-09,16.46,18.5,14.21,0.01,69.93,2.49,15.645714285714286,15.954666666666668,0.6454935358018139,0.7281985229975974
2024-02-10,16.01,17.98,13.27,0.05,78.07,2.74,15.78857142857143,15.932333333333334,0.5895882340365227,0.2707521744404503
2024-02-11,16.97,18.78,15.58,0.0,75.67,3.57,16.104285714285716,15.937999999999999,0.5363101448122939,1.1689870524899344
2024-02-12,17.75,21.34,15.3,0.0,65.46,3.3,16.462857142857143,15.998999999999999,0.6815598356151978,1.7911994483595959
2024-02-13,17.22,20.67,15.22,0.1,63.31,5.55,16.62142857142857,16.037666666666667,0.7141295067289654,1.202396855027731
2024-02-14,15.71,17.68,13.83,0.57,73.57,5.12,16.608571428571427,16.023666666666667,0.7319705952980321,-0.2101331074637456
2024-02-15,14.76,16.34,13.31,2.66,75.48,4.8,16.41142857142857,15.998999999999999,1.0116229299402812,-1.1463540195840238
2024-02-16,15.65,18.17,13.91,0.86,73.14,6.55,16.295714285714286,15.967333333333334,1.0507117768899552,-0.5495169050662128
2024-02-17,16.03,18.33,14.23,0.75,73.92,5.34,16.298571428571428,15.933666666666666,1.049832186136255,-0.3858012971316322
2024-02-18,16.18,17.89,14.74,0.16,73.06,4.22,16.185714285714287,15.917333333333334,1.0072215437009124,-0.3176303962288704
2024-02-19,16.42,17.5,15.05,0.02,66.16,4.91,15.995714285714286,15.858,0.7574267212709446,-0.14692785608357056
2024-02-20,16.06,17.99,14.65,0.0,65.82,3.8,15.83,15.790666666666668,0.5408635071192658,-0.6205710312575946
2024-02-21,15.66,17.43,14.24,0.0,69.66,2.56,15.822857142857142,15.738333333333333,0.5430381903609497,-1.1294781265228686
