,temperature,hour,day_of_week,month,is_weekend,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
2022-07-03,16.29,0,6,7,1,-0.4999999999999997,-0.8660254037844388,16.29,15.27,3.75,16.53,1.5803081702767718,9.926785714285714,4.553632533178302
2022-07-04,16.8,0,0,7,0,-0.4999999999999997,-0.8660254037844388,16.29,17.19,2.82,16.5725,1.5585144822247847,10.001428571428571,4.554554118289109
2022-07-05,16.65,0,1,7,0,-0.4999999999999997,-0.8660254037844388,16.8,16.19,3.0,16.55625,1.5538222507599,10.084642857142857,4.550268912611036
2022-07-06,18.32,0,2,7,0,-0.4999999999999997,-0.8660254037844388,16.65,15.68,4.03,16.575416666666666,1.55194402399804,10.165892857142858,4.544871997480413
2022-07-07,18.83,0,3,7,0,-0.4999999999999997,-0.8660254037844388,18.32,15.68,1.24,16.685416666666665,1.5790420298029122,10.25095238095238,4.563034004591699
2022-07-08,20.24,0,4,7,0,-0.4999999999999997,-0.8660254037844388,18.83,16.28,0.58,16.816666666666666,1.6221635221991861,10.355654761904763,4.556836495877026
2022-07-09,19.3,0,5,7,1,-0.4999999999999997,-0.8660254037844388,20.24,17.89,2.54,16.981666666666666,1.7606858018265703,10.47267857142857,4.556728849979189
2022-07-10,20.72,0,6,7,1,-0.4999999999999997,-0.8660254037844388,19.3,19.56,2.69,17.04041666666667,1.814999051782415,10.572440476190476,4.565473852015985
2022-07-11,21.86,0,0,7,0,-0.4999999999999997,-0.8660254037844388,20.72,21.28,1.69,17.08875,1.8985356198923558,10.679761904761904,4.590916696111558
2022-07-12,22.85,0,1,7,0,-0.4999999999999997,-0.8660254037844388,21.86,17.42,0.89,17.112916666666667,1.9569974321075163,10.799821428571429,4.618070789001903
2022-07-13,22.02,0,2,7,0,-0.4999999999999997,-0.8660254037844388,22.85,14.41,2.1,17.339166666666667,2.281090350776543,10.930535714285714,4.6465944336742115
2022-07-14,19.17,0,3,7,0,-0.4999999999999997,-0.8660254037844388,22.02,15.18,5.19,17.65625,2.3828623863274134,11.049107142857142,4.67398595494408
2022-07-15,18.87,0,4,7,0,-0.4999999999999997,-0.8660254037844388,19.17,15.78,4.96,17.8225,2.3414140097849967,11.132321428571428,4.693454860845637
2022-07-16,19.38,0,5,7,1,-0.4999999999999997,-0.8660254037844388,18.87,17.47,8.58,17.95125,2.3089491539772466,11.215119047619048,4.706591757712447
2022-07-17,20.83,0,6,7,1,-0.4999999999999997,-0.8660254037844388,19.38,18.25,3.3,18.030833333333334,2.3245044664385617,11.279404761904763,4.743992192133023
2022-07-18,24.38,0,0,7,0,-0.4999999999999997,-0.8660254037844388,20.83,17.62,4.47,18.138333333333332,2.393708541094804,11.38375,4.760192932171656
2022-07-19,25.93,0,1,7,0,-0.4999999999999997,-0.8660254037844388,24.38,15.75,8.22,18.419999999999998,2.7072527387195344,11.502261904761905,4.8343016762984705
2022-07-20,21.84,0,2,7,0,-0.4999999999999997,-0.8660254037844388,25.93,15.65,7.85,18.844166666666666,3.046917068643071,11.607678571428572,4.9539123803427225
2022-07-21,19.66,0,3,7,0,-0.4999999999999997,-0.8660254037844388,21.84,15.31,7.31,19.102083333333333,3.026699995427185,11.69095238095238,5.007660985791373
2022-07-22,17.56,0,4,7,0,-0.4999999999999997,-0.8660254037844388,19.66,15.7,5.77,19.283333333333335,2.9180393457231673,11.764464285714286,5.033545405776156
