Model,mae,rmse,mape,smape
Persistence baseline,4.070714285714286,4.483082485458924,276.7425315062944,107.17849676178494
Seasonal naive,4.6378571428571425,5.592217806917037,208.0409939491262,129.0557329359066
ARIMA,4.093025274920682,4.768215419886682,342.56321066921635,98.40807510229091
SARIMA,4.065185411477796,4.722808941696474,338.67758526152204,98.46843438236367
