Model,MAE,RMSE,R2
XGBoost (Tuned),2.1911014882973836,4.843099944398287,0.7641749676416169
XGBoost,2.1634210867888157,4.856960270038894,0.7628232346803738
Random Forest,2.237361319452778,4.901113466765903,0.758491425795994
Linear Regression,2109.2724835055897,648706.4421362955,-4230965279.1176944
