fold,train_end,validation_start,validation_end,mae,rmse,mape,smape
1,2022-12-10,2022-12-11,2022-12-17,1.4294738233207391,1.472317871393533,353.36428031271896,112.97231835630177
2,2022-12-17,2022-12-18,2022-12-24,6.8218380548178885,7.262390401829355,92.43861896924633,172.60903981103903
3,2022-12-24,2022-12-25,2022-12-31,1.975952066816139,2.4635831036386064,21.374106806066813,23.95993536184476
