order,seasonal_order,aic,mae,rmse,mape,smape
"(1, 1, 1)","(0, 0, 0, 7)",1084.9104478523216,3.6562422839276767,4.58957573984422,50.328851724215696,33.8866931083238
"(2, 1, 1)","(0, 0, 0, 7)",1071.3159795580775,3.442111052483266,4.277071537725518,46.7698379410832,32.54029425904943
"(1, 1, 2)","(0, 0, 0, 7)",1066.9899919343059,3.513636019579024,4.3920852352205015,48.06089323338878,32.98222786335884
"(2, 1, 2)","(0, 0, 0, 7)",1067.7647964825883,3.3850705281656177,4.181387929573899,45.663786025414026,32.18776215458706
"(1, 1, 1)","(1, 0, 0, 7)",1059.8592484425885,3.5842796026714763,4.49581718396565,49.25723642113738,33.420290280323115
"(1, 1, 1)","(0, 0, 1, 7)",1056.0255673032511,3.628383424860658,4.550558233029365,49.88108650551285,33.713138411279715
"(2, 1, 1)","(1, 0, 1, 7)",1047.0423925764132,3.456486089617121,4.302534267140413,47.06250469563127,32.62379965770238
"(2, 1, 2)","(1, 0, 1, 7)",1046.5579697039254,3.4480277051319286,4.29147226314674,46.93278055717869,32.56710408596374
