Model,mae,rmse,mape,smape
Persistence baseline,3.3998214285714283,3.7274853884929677,284.1432215630962,87.14293261028764
Seasonal naive,3.776785714285714,4.623427338797795,161.46581536578722,103.07336344091385
ARIMA,3.4221323896414853,3.836732797378436,372.0565653959288,82.45249155164825
SARIMA,3.3943022780380594,3.7955754662137897,367.1817523536088,82.28879904893095
