date,temp_max,temp_min,temp_mean,precipitation,humidity
2023-04-28,27.36,14.68,20.37,0.0,54.03
2023-04-29,25.35,12.23,18.24,0.0,50.81
2023-04-30,26.16,10.83,18.54,0.0,48.41
2023-05-01,28.89,11.68,20.37,0.0,39.18
2023-05-02,31.47,13.09,22.05,0.24,44.55
2023-05-03,33.1,14.35,23.05,0.03,40.41
2023-05-04,36.93,15.28,26.12,0.15,37.22
2023-05-05,31.08,17.77,24.65,0.0,32.18
2023-05-06,30.02,16.03,22.82,0.0,50.01
2023-05-07,28.71,14.99,21.74,0.0,54.31
2023-05-08,28.54,14.87,21.61,0.0,52.69
2023-05-09,30.25,14.53,22.37,0.0,51.79
2023-05-10,33.32,15.16,24.09,0.0,45.54
2023-05-11,38.04,17.98,27.8,0.0,36.49
2023-05-12,32.93,17.87,24.63,0.05,49.53
2023-05-13,31.29,14.7,22.92,0.08,51.38
2023-05-14,32.91,14.48,23.38,0.07,47.59
2023-05-15,34.95,15.21,24.45,0.03,46.92
2023-05-16,37.7,16.34,26.92,0.01,43.39
2023-05-17,38.39,19.34,28.2,0.0,34.66
2023-05-18,31.28,15.93,23.11,0.0,50.69
2023-05-19,30.1,14.54,22.27,0.0,50.09
2023-05-20,32.23,15.21,23.8,0.0,47.55
2023-05-21,38.14,18.55,28.74,0.0,27.02
2023-05-22,33.76,19.31,25.93,0.0,37.06
2023-05-23,35.01,17.88,26.75,0.0,37.67
2023-05-24,34.53,19.11,26.76,0.0,39.16
2023-05-25,35.33,17.91,26.72,0.0,38.35
2023-05-26,34.15,20.85,27.04,0.0,38.5
2023-05-27,36.86,22.8,29.15,0.15,31.17
2023-05-28,33.33,21.43,26.87,0.0,42.78
2023-05-29,33.01,18.26,25.99,0.0,45.66
2023-05-30,34.81,19.87,27.66,0.0,41.72
2023-05-31,38.35,21.1,29.56,0.0,32.28
2023-06-01,41.87,24.9,31.35,0.38,31.39
2023-06-02,42.56,25.55,33.9,0.0,24.14
2023-06-03,36.21,22.44,28.56,0.0,42.68
2023-06-04,35.94,19.27,26.92,0.0,43.33
2023-06-05,34.78,18.58,26.21,0.0,39.49
2023-06-06,35.52,18.42,26.87,0.0,38.25
2023-06-07,38.35,20.9,29.98,0.01,36.42
2023-06-08,40.39,24.74,31.46,0.01,33.83
2023-06-09,39.14,24.76,31.49,0.0,31.55
2023-06-10,36.83,21.43,28.98,0.16,46.62
2023-06-11,36.47,21.68,28.96,0.0,33.66
2023-06-12,36.79,22.35,29.62,0.45,34.41
2023-06-13,40.47,23.4,31.59,0.03,37.18
2023-06-14,35.45,21.18,27.84,0.07,46.86
2023-06-15,36.76,19.83,28.31,0.0,44.38
2023-06-16,40.65,20.0,31.38,0.0,29.01
2023-06-17,37.63,24.13,30.02,0.0,39.41
2023-06-18,36.31,21.41,28.57,0.0,38.58
2023-06-19,34.07,19.72,26.74,0.0,46.03
2023-06-20,35.46,19.67,27.36,0.0,50.74
2023-06-21,36.8,20.2,28.37,0.0,49.04
2023-06-22,36.32,20.72,28.18,0.0,49.95
2023-06-23,38.88,20.15,29.92,0.0,43.71
2023-06-24,39.06,21.12,30.53,0.0,38.24
2023-06-25,38.23,20.98,29.34,0.0,34.72
2023-06-26,37.11,19.84,28.56,0.0,28.96
2023-06-27,37.82,21.4,29.48,0.0,41.05
2023-06-28,38.03,21.08,29.64,0.0,44.18
2023-06-29,37.59,21.37,29.47,0.0,43.33
2023-06-30,38.36,20.4,29.38,0.0,46.46
2023-07-01,38.4,21.6,29.33,0.0,45.83
2023-07-02,38.9,20.91,29.66,0.0,39.02
2023-07-03,41.27,20.49,31.39,0.0,32.22
2023-07-04,39.95,24.08,31.83,0.0,32.94
2023-07-05,36.9,21.87,29.06,0.0,47.52
2023-07-06,37.36,21.13,29.48,0.0,47.65
2023-07-07,38.88,22.28,30.43,0.0,44.12
2023-07-08,39.71,22.73,30.48,0.0,51.12
2023-07-09,38.33,22.03,29.39,0.0,52.37
2023-07-10,38.51,21.9,30.04,0.0,48.76
2023-07-11,38.53,23.11,30.42,0.0,46.7
2023-07-12,38.57,22.37,30.26,0.0,43.32
2023-07-13,40.54,20.63,30.57,0.0,37.2
2023-07-14,42.26,20.9,31.84,0.0,35.41
2023-07-15,40.94,21.82,31.9,0.0,34.0
2023-07-16,43.13,22.49,33.25,0.0,34.7
2023-07-17,42.13,24.16,33.51,0.0,34.94
2023-07-18,41.31,23.28,32.07,0.0,41.66
2023-07-19,40.07,22.61,31.27,0.0,42.99
2023-07-20,40.74,24.3,32.47,0.0,33.04
2023-07-21,40.23,24.01,31.99,0.0,30.82
2023-07-22,42.84,22.34,32.77,0.0,34.49
2023-07-23,43.25,24.11,33.87,0.0,39.68
2023-07-24,43.27,24.21,33.83,0.0,42.58
2023-07-25,41.57,23.66,32.68,0.0,42.64
2023-07-26,42.32,24.51,33.61,0.0,40.78
2023-07-27,43.54,26.48,34.96,0.0,29.77
2023-07-28,43.89,24.1,33.82,0.0,36.87
2023-07-29,39.8,23.41,30.65,0.0,41.69
2023-07-30,38.93,21.86,29.75,0.0,45.39
2023-07-31,39.59,21.45,30.41,0.0,46.62
2023-08-01,38.97,22.6,30.94,0.0,40.14
2023-08-02,40.27,23.35,31.95,0.0,34.52
2023-08-03,39.13,22.69,31.2,0.0,36.08
2023-08-04,40.7,22.53,31.43,0.0,35.23
2023-08-05,41.1,23.95,32.48,0.0,25.24
2023-08-06,43.53,27.51,35.05,0.0,22.56
2023-08-07,42.69,25.24,33.39,0.0,36.96
2023-08-08,38.66,24.33,30.71,0.0,46.26
2023-08-09,37.32,22.53,29.58,0.0,46.99
2023-08-10,38.57,22.71,30.09,0.0,48.32
2023-08-11,38.15,22.56,29.91,0.0,52.11
2023-08-12,38.63,23.68,29.92,0.0,50.7
2023-08-13,38.6,23.6,30.15,0.0,52.21
2023-08-14,38.87,22.94,30.05,0.0,51.1
2023-08-15,38.48,22.63,29.8,0.0,51.58
2023-08-16,38.45,23.16,29.71,0.0,53.53
2023-08-17,39.65,22.26,30.47,0.0,50.04
2023-08-18,38.72,23.04,30.68,0.0,46.52
2023-08-19,39.2,22.41,30.27,0.0,45.07
2023-08-20,38.4,21.68,29.8,0.0,47.86
2023-08-21,38.39,23.38,29.99,0.0,50.36
2023-08-22,39.1,22.19,30.2,0.0,48.4
2023-08-23,39.32,22.06,30.28,0.0,44.13
2023-08-24,40.87,20.66,30.28,0.0,51.55
2023-08-25,41.12,22.13,31.07,0.0,49.31
2023-08-26,41.22,22.47,31.7,0.0,47.37
2023-08-27,40.17,24.22,32.22,0.0,40.04
2023-08-28,38.45,24.4,30.87,0.0,42.27
2023-08-29,38.16,22.56,29.66,0.0,47.11
2023-08-30,40.37,21.62,30.83,0.0,44.94
2023-08-31,41.46,23.32,31.96,0.0,43.09
2023-09-01,38.37,23.97,30.02,0.0,49.77
2023-09-02,38.74,21.62,29.43,0.0,52.36
2023-09-03,36.59,22.08,28.91,0.0,52.06
2023-09-04,35.25,21.9,28.34,0.0,50.08
2023-09-05,38.06,22.88,30.44,0.0,38.63
2023-09-06,40.08,23.98,31.84,0.0,29.64
2023-09-07,43.49,25.16,34.25,0.0,23.51
2023-09-08,41.29,25.25,32.67,0.0,30.01
2023-09-09,39.25,25.42,31.68,0.0,36.77
2023-09-10,39.25,25.18,31.85,0.0,36.52
2023-09-11,38.66,26.49,31.78,0.0,34.46
2023-09-12,36.11,26.13,29.85,0.0,46.9
2023-09-13,35.84,23.55,28.97,0.0,50.24
2023-09-14,36.01,20.15,27.86,0.0,51.66
2023-09-15,36.44,20.76,28.17,0.0,48.7
2023-09-16,35.89,19.82,27.62,0.0,45.59
2023-09-17,38.58,20.19,29.01,0.0,48.5
2023-09-18,36.71,21.66,28.39,0.0,54.32
2023-09-19,35.18,20.87,27.76,0.0,54.54
2023-09-20,35.24,20.75,27.81,0.0,52.75
2023-09-21,36.73,20.77,28.66,0.0,54.12
2023-09-22,37.46,21.45,29.22,0.0,50.46
2023-09-23,37.38,20.22,28.54,0.0,50.38
2023-09-24,38.81,20.93,29.43,0.0,47.06
2023-09-25,38.0,20.52,29.03,0.0,44.39
2023-09-26,37.29,20.47,28.71,0.0,46.62
2023-09-27,38.7,20.62,29.32,0.0,37.64
2023-09-28,39.92,21.15,29.91,0.01,41.52
2023-09-29,38.61,22.69,29.91,0.02,48.63
