time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum
2023-05-18,40.3,24.3,32.6,0.0
2023-05-19,39.0,26.4,32.7,0.0
2023-05-20,37.1,25.6,32.1,0.0
2023-05-21,35.5,22.2,29.7,0.0
2023-05-22,38.2,25.0,31.7,0.0
2023-05-23,39.7,26.0,32.9,0.0
2023-05-24,38.4,26.9,31.6,0.0
2023-05-25,36.7,25.2,31.6,0.8
2023-05-26,37.6,25.1,31.7,0.0
2023-05-27,38.3,24.3,32.0,0.0
2023-05-28,41.9,27.2,34.2,0.2
2023-05-29,37.2,26.5,31.4,0.0
2023-05-30,37.3,26.5,31.1,0.4
2023-05-31,35.9,23.3,29.2,0.0
2023-06-01,38.6,25.5,32.1,0.0
2023-06-02,38.1,27.3,32.9,0.0
2023-06-03,38.5,26.2,32.7,0.0
2023-06-04,38.7,25.4,32.7,0.0
2023-06-05,39.1,27.3,33.4,0.0
2023-06-06,38.9,27.4,33.6,0.0
2023-06-07,41.4,27.8,34.9,0.0
2023-06-08,39.7,26.7,33.3,0.0
2023-06-09,39.7,25.7,33.4,0.0
2023-06-10,42.7,26.3,35.0,0.0
2023-06-11,42.3,29.0,36.5,0.0
2023-06-12,40.7,28.6,34.9,0.0
2023-06-13,39.4,27.4,33.5,0.0
2023-06-14,40.1,26.3,33.8,0.0
2023-06-15,43.0,27.5,35.9,0.0
2023-06-16,38.8,26.5,33.1,0.0
2023-06-17,38.3,25.9,32.4,0.0
2023-06-18,40.1,25.4,33.3,0.0
2023-06-19,40.9,27.1,34.9,0.0
2023-06-20,41.2,27.1,35.1,0.0
2023-06-21,42.2,28.1,35.4,0.0
2023-06-22,43.0,28.4,35.6,0.0
2023-06-23,43.2,28.8,36.6,0.0
2023-06-24,43.5,28.5,36.5,0.0
2023-06-25,42.0,28.8,35.7,0.0
2023-06-26,41.5,28.4,35.1,0.0
2023-06-27,42.0,26.9,35.2,0.0
2023-06-28,42.6,27.1,35.4,0.0
2023-06-29,42.1,26.9,35.1,0.0
2023-06-30,42.9,26.6,35.6,0.0
2023-07-01,44.6,27.7,36.5,0.0
2023-07-02,43.5,28.7,36.7,0.0
2023-07-03,42.6,28.5,36.4,0.0
2023-07-04,42.3,28.3,35.8,0.0
2023-07-05,42.0,27.7,35.2,0.0
2023-07-06,42.5,26.4,35.2,0.0
2023-07-07,43.3,29.4,36.5,0.0
2023-07-08,43.8,27.8,36.5,0.0
2023-07-09,44.2,28.2,36.8,0.0
2023-07-10,43.2,29.5,36.7,0.0
2023-07-11,43.3,27.5,36.5,0.0
2023-07-12,43.9,29.9,37.1,0.0
2023-07-13,40.8,29.3,35.6,0.0
2023-07-14,41.6,27.0,34.9,0.0
2023-07-15,42.9,26.4,35.4,0.0
2023-07-16,43.8,27.5,36.1,0.0
2023-07-17,45.0,28.8,37.5,0.0
2023-07-18,44.9,29.7,37.4,0.0
2023-07-19,45.0,28.3,37.6,0.0
2023-07-20,44.4,30.1,37.7,0.0
2023-07-21,42.8,28.4,36.0,0.0
2023-07-22,43.7,28.5,37.0,0.0
2023-07-23,43.4,27.2,36.1,0.0
2023-07-24,43.3,28.0,36.7,0.0
2023-07-25,44.1,28.2,36.7,0.0
2023-07-26,44.4,27.1,36.7,0.0
2023-07-27,44.5,28.9,37.2,0.0
2023-07-28,43.4,28.3,37.0,0.0
2023-07-29,42.3,29.2,36.3,0.0
2023-07-30,43.6,29.7,37.1,0.0
2023-07-31,44.9,31.1,38.3,0.0
2023-08-01,43.8,31.3,37.9,0.0
2023-08-02,44.1,30.4,37.5,0.0
2023-08-03,43.7,30.6,37.5,0.0
2023-08-04,42.5,30.0,36.5,0.0
2023-08-05,42.1,29.0,36.0,0.0
2023-08-06,42.7,27.1,35.8,0.0
2023-08-07,42.0,27.9,35.6,0.0
2023-08-08,42.1,27.5,35.4,0.0
2023-08-09,42.3,26.6,35.4,0.0
2023-08-10,43.1,27.9,36.2,0.0
2023-08-11,42.8,29.5,36.1,0.0
2023-08-12,43.5,29.0,36.6,0.0
2023-08-13,43.9,30.9,38.0,0.0
2023-08-14,44.9,28.6,37.3,0.0
2023-08-15,44.7,29.0,37.1,0.0
2023-08-16,43.9,27.3,37.0,0.0
2023-08-17,44.1,29.7,37.0,0.0
2023-08-18,44.8,31.9,38.2,0.0
2023-08-19,43.7,30.8,37.9,0.0
2023-08-20,43.5,32.7,38.4,0.0
2023-08-21,43.4,29.0,36.5,0.0
2023-08-22,43.6,29.4,37.0,0.0
2023-08-23,42.8,28.4,36.4,0.0
2023-08-24,43.7,27.7,36.5,0.0
2023-08-25,44.4,30.1,37.4,0.0
2023-08-26,43.4,28.5,36.9,0.0
2023-08-27,42.5,29.5,36.2,0.0
2023-08-28,44.5,28.9,37.0,0.0
2023-08-29,40.6,29.8,35.6,0.0
2023-08-30,40.0,28.1,34.1,0.0
2023-08-31,40.4,27.7,34.5,0.0
2023-09-01,40.3,27.7,34.2,0.0
2023-09-02,39.5,26.9,33.8,0.0
2023-09-03,39.3,26.3,33.0,0.0
2023-09-04,39.8,26.5,33.0,0.0
2023-09-05,40.3,26.5,33.3,0.0
