date,temperature,temp_min,temp_max,precipitation
2022-05-31,11.61,7.53,15.38,0
2022-06-01,12.05,6.6,16.93,0
2022-06-02,13.55,6.84,19.03,0
2022-06-03,14.9,8.43,20.03,0
2022-06-04,14.74,10.9,19.03,0
2022-06-05,13.46,10.93,16.53,0
2022-06-06,13.74,10.44,17.25,0
2022-06-07,15.8,10.15,20.68,0
2022-06-08,16.15,11.55,20.42,0
2022-06-09,15.27,9.44,19.66,0
2022-06-10,17.19,12.13,21.85,0
2022-06-11,16.19,9.81,21.48,0
2022-06-12,15.68,9.26,21.02,0
2022-06-13,15.68,9.15,20.69,0
2022-06-14,16.28,9.76,22.0,0
2022-06-15,17.89,9.28,23.96,0
2022-06-16,19.56,12.52,25.6,0
2022-06-17,21.28,13.69,28.14,0
2022-06-18,17.42,11.17,21.61,0
2022-06-19,14.41,10.13,19.47,0
2022-06-20,15.18,9.49,20.77,0
2022-06-21,15.78,8.53,21.86,0
2022-06-22,17.47,9.86,24.2,0
2022-06-23,18.25,10.03,24.71,0
2022-06-24,17.62,13.43,22.13,0
2022-06-25,15.75,11.78,19.49,0
2022-06-26,15.65,10.43,20.35,0
2022-06-27,15.31,10.31,19.74,0
2022-06-28,15.7,8.98,20.59,0
2022-06-29,16.4,12.34,21.58,0
2022-06-30,14.73,11.17,18.55,0
2022-07-01,15.74,9.7,21.14,0
2022-07-02,16.29,10.56,20.96,0
2022-07-03,16.29,10.02,22.29,0
2022-07-04,16.8,9.64,23.31,0
2022-07-05,16.65,9.18,22.7,0
2022-07-06,18.32,10.4,24.38,0
2022-07-07,18.83,14.37,23.48,0
2022-07-08,20.24,12.15,27.04,0
2022-07-09,19.3,13.06,25.13,0
2022-07-10,20.72,13.05,27.81,0
2022-07-11,21.86,14.92,28.98,0
2022-07-12,22.85,16.29,29.83,0
2022-07-13,22.02,16.89,27.52,0
2022-07-14,19.17,14.04,24.63,0
2022-07-15,18.87,11.62,25.6,0
2022-07-16,19.38,12.14,26.26,0
2022-07-17,20.83,13.53,27.42,0
2022-07-18,24.38,16.77,33.85,0
2022-07-19,25.93,17.88,34.53,0
2022-07-20,21.84,17.12,27.25,0
2022-07-21,19.66,15.11,24.54,0
2022-07-22,17.56,14.44,20.58,0
2022-07-23,20.13,13.22,26.64,0
2022-07-24,21.15,16.09,26.1,0
2022-07-25,20.2,14.59,25.24,0
2022-07-26,17.27,13.26,21.16,0
2022-07-27,17.32,13.09,21.28,0
2022-07-28,17.5,13.37,21.58,0
2022-07-29,19.82,12.27,26.67,0
2022-07-30,20.88,14.4,27.12,0
2022-07-31,22.13,17.42,27.07,0
2022-08-01,21.12,15.99,26.83,0
2022-08-02,22.43,17.37,28.2,0
2022-08-03,22.56,16.35,28.84,0
2022-08-04,19.71,14.5,25.17,0
2022-08-05,17.32,11.77,23.2,0
2022-08-06,17.34,9.52,24.37,0
2022-08-07,19.98,12.24,27.18,0
2022-08-08,21.13,13.91,28.2,0
2022-08-09,20.66,13.51,27.84,0
2022-08-10,21.82,14.15,29.41,0
2022-08-11,23.09,15.3,31.5,0
2022-08-12,23.67,15.93,32.03,0
2022-08-13,24.15,16.68,32.53,0
2022-08-14,24.15,16.61,32.4,0
2022-08-15,23.12,16.98,30.09,0
2022-08-16,19.77,17.57,22.16,0
2022-08-17,18.75,15.06,21.64,0
2022-08-18,20.75,15.47,26.71,0
2022-08-19,20.01,14.41,25.59,0
2022-08-20,18.67,11.83,25.0,0
2022-08-21,18.72,13.33,24.81,0
2022-08-22,19.17,12.5,25.19,0
2022-08-23,21.43,16.68,26.99,0
2022-08-24,22.25,16.85,28.64,0
2022-08-25,18.12,13.31,21.45,0
2022-08-26,18.32,11.07,24.72,0
2022-08-27,18.9,14.23,24.33,0
2022-08-28,17.88,12.92,22.81,0
2022-08-29,17.6,13.09,22.74,0
2022-08-30,17.65,13.6,22.44,0
2022-08-31,17.8,13.08,23.54,0
2022-09-01,19.0,14.58,24.68,0
2022-09-02,19.18,15.24,23.78,0
2022-09-03,19.03,14.22,24.87,0
2022-09-04,19.63,15.4,24.57,0
2022-09-05,19.32,16.36,22.28,0
2022-09-06,17.75,15.12,21.68,0
2022-09-07,18.15,15.05,22.76,0
2022-09-08,16.8,14.15,20.12,0
2022-09-09,16.57,13.32,20.74,0
2022-09-10,16.71,11.63,22.03,0
2022-09-11,17.58,11.79,23.94,0
2022-09-12,20.1,15.06,25.18,0
2022-09-13,16.95,14.4,20.96,0
2022-09-14,16.46,12.43,22.49,0
2022-09-15,14.31,9.48,19.71,0
2022-09-16,11.64,7.43,16.93,0
2022-09-17,10.86,5.09,17.51,0
2022-09-18,11.97,6.41,18.15,0
2022-09-19,12.86,6.9,18.57,0
2022-09-20,13.8,7.34,19.39,0
2022-09-21,15.03,10.95,20.81,0
2022-09-22,14.96,8.92,20.72,0
2022-09-23,14.21,11.09,18.67,0
2022-09-24,12.79,9.23,18.29,0
2022-09-25,11.85,7.61,16.56,0
2022-09-26,12.39,8.83,16.15,0
2022-09-27,10.19,6.68,14.49,0
2022-09-28,9.82,6.49,15.52,0
2022-09-29,9.99,5.32,15.35,0
2022-09-30,11.92,6.36,16.46,0
2022-10-01,14.53,11.07,19.51,0
2022-10-02,13.29,9.01,18.83,0
2022-10-03,13.02,7.55,19.1,0
2022-10-04,16.09,13.71,20.34,0
2022-10-05,15.47,9.99,19.56,0
2022-10-06,12.52,6.75,18.93,0
2022-10-07,13.94,9.63,18.84,0
2022-10-08,11.13,6.99,17.22,0
2022-10-09,11.48,6.5,17.88,0
2022-10-10,11.35,6.06,16.66,0
2022-10-11,9.69,3.53,16.25,0
2022-10-12,12.5,7.27,18.21,0
2022-10-13,13.06,10.58,17.82,0
2022-10-14,11.29,7.49,15.25,0
2022-10-15,12.47,7.28,16.9,0
2022-10-16,13.39,8.89,17.2,0
2022-10-17,14.31,8.98,17.59,0
2022-10-18,11.66,5.67,18.42,0
2022-10-19,13.45,10.88,15.98,0
2022-10-20,13.78,9.67,18.13,0
2022-10-21,15.38,10.88,18.52,0
2022-10-22,14.55,11.38,18.55,0
2022-10-23,15.81,13.87,19.48,0
2022-10-24,13.91,11.26,17.54,0
2022-10-25,13.43,9.74,17.51,0
2022-10-26,15.36,13.29,19.31,0
2022-10-27,16.03,13.24,19.9,0
2022-10-28,14.49,9.52,18.67,0
2022-10-29,15.47,9.46,20.86,0
2022-10-30,13.34,11.63,15.74,0
2022-10-31,13.98,11.05,17.23,0
2022-11-01,12.8,9.74,15.43,0
2022-11-02,11.7,6.86,15.04,0
2022-11-03,10.52,6.82,13.76,0
2022-11-04,7.71,3.59,12.42,0
2022-11-05,9.06,2.61,12.66,0
2022-11-06,12.29,10.29,13.93,0
2022-11-07,12.81,10.56,15.15,0
2022-11-08,12.78,11.55,14.31,0
2022-11-09,10.7,8.54,13.51,0
2022-11-10,12.28,8.85,15.45,0
2022-11-11,12.34,7.78,16.03,0
2022-11-12,10.8,7.38,16.08,0
2022-11-13,10.55,8.26,15.14,0
2022-11-14,10.58,7.35,15.67,0
2022-11-15,9.57,7.14,12.64,0
2022-11-16,9.99,8.29,12.23,0
2022-11-17,8.6,6.64,10.82,0
2022-11-18,7.42,4.44,11.59,0
2022-11-19,6.19,4.28,9.33,0
2022-11-20,6.67,3.99,10.1,0
2022-11-21,6.3,4.33,8.46,0
2022-11-22,5.29,3.57,7.72,0
2022-11-23,8.25,4.36,11.31,0
2022-11-24,8.73,5.41,11.88,0
2022-11-25,7.76,5.42,11.55,0
2022-11-26,8.93,6.43,11.2,0
2022-11-27,9.8,7.23,12.06,0
2022-11-28,6.86,5.24,10.47,0
2022-11-29,5.6,4.79,6.69,0
2022-11-30,6.18,3.86,9.56,0
2022-12-01,4.53,2.37,8.34,0
2022-12-02,4.46,3.37,7.18,0
2022-12-03,4.36,2.99,7.4,0
2022-12-04,3.87,3.03,5.98,0
2022-12-05,4.94,3.44,7.69,0
2022-12-06,3.48,1.79,5.6,0
2022-12-07,1.45,-1.05,3.83,0
2022-12-08,-1.72,-4.28,2.82,0
2022-12-09,-1.69,-3.38,2.26,0
2022-12-10,-0.73,-1.94,2.98,0
2022-12-11,-0.78,-1.98,0.66,0
2022-12-12,-0.57,-2.41,1.92,0
2022-12-13,-1.08,-2.29,0.69,0
2022-12-14,-0.93,-2.49,0.97,0
2022-12-15,-2.25,-4.67,0.78,0
2022-12-16,-1.61,-3.56,2.01,0
2022-12-17,0.2,-3.2,4.54,0
2022-12-18,1.7,-1.89,7.6,0
2022-12-19,10.26,8.0,11.42,0
2022-12-20,8.29,4.43,11.49,0
2022-12-21,6.49,4.71,10.1,0
2022-12-22,7.08,3.69,10.38,0
2022-12-23,8.52,6.55,11.41,0
2022-12-24,8.41,6.66,10.06,0
2022-12-25,9.23,7.69,10.56,0
2022-12-26,5.64,2.96,8.68,0
2022-12-27,6.57,3.11,9.64,0
2022-12-28,9.95,8.28,11.4,0
2022-12-29,7.16,4.58,8.57,0
2022-12-30,9.07,5.16,12.4,0
2022-12-31,11.71,9.92,12.62,0
